epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,38943.2,1.27984,0.98095,1.44144,0.92138,0.86558,0.92774,0.61243,1.1765,0.69561,1.382,0.003466,0.003466,0.003466
68,39524.6,1.2787,0.97206,1.43652,0.92242,0.86554,0.92816,0.61301,1.17519,0.69373,1.38073,0.003367,0.003367,0.003367
69,40105.7,1.27763,0.96755,1.43414,0.92413,0.8656,0.92845,0.61387,1.17351,0.69181,1.37912,0.003268,0.003268,0.003268
70,40687.2,1.27336,0.96315,1.42996,0.9259,0.86641,0.92904,0.61503,1.1722,0.68909,1.3777,0.003169,0.003169,0.003169
71,41268.8,1.27102,0.95919,1.43095,0.92558,0.86769,0.92959,0.61536,1.17118,0.68702,1.37638,0.00307,0.00307,0.00307
72,41849.8,1.26861,0.95766,1.43006,0.92668,0.86769,0.92998,0.61631,1.16973,0.68514,1.37519,0.002971,0.002971,0.002971
73,42430.3,1.26223,0.94905,1.42766,0.92832,0.86799,0.9304,0.61707,1.16861,0.68305,1.37419,0.002872,0.002872,0.002872
74,43011.8,1.2609,0.94728,1.42358,0.92895,0.86931,0.93106,0.61765,1.16745,0.68099,1.37322,0.002773,0.002773,0.002773
75,43593.4,1.2549,0.94377,1.42133,0.92901,0.87058,0.93144,0.61831,1.16594,0.67849,1.37212,0.002674,0.002674,0.002674
76,44175.1,1.25497,0.9446,1.42153,0.92959,0.87033,0.93183,0.61901,1.16415,0.67636,1.37068,0.002575,0.002575,0.002575
77,44757.9,1.25367,0.9393,1.42017,0.93038,0.87168,0.93236,0.61987,1.16269,0.67453,1.36971,0.002476,0.002476,0.002476
78,45339.7,1.24692,0.93349,1.41183,0.93086,0.87203,0.93277,0.62074,1.16153,0.67265,1.3685,0.002377,0.002377,0.002377
79,45921.6,1.23937,0.92322,1.41016,0.9316,0.8729,0.93327,0.62125,1.1607,0.67076,1.36784,0.002278,0.002278,0.002278
80,46504.7,1.2388,0.92368,1.41284,0.93283,0.87292,0.9335,0.62216,1.15975,0.66908,1.36685,0.002179,0.002179,0.002179
81,47087.2,1.24199,0.92481,1.4136,0.93471,0.87252,0.93393,0.62277,1.15839,0.6674,1.36618,0.00208,0.00208,0.00208
82,47669.7,1.23733,0.9141,1.4131,0.93409,0.87331,0.93444,0.6233,1.15739,0.66593,1.36532,0.001981,0.001981,0.001981
83,48251.8,1.23375,0.90757,1.40699,0.93414,0.87348,0.93464,0.62421,1.15639,0.66389,1.36441,0.001882,0.001882,0.001882
84,48834.7,1.2336,0.91009,1.40516,0.93387,0.87406,0.93557,0.62446,1.15593,0.66226,1.36377,0.001783,0.001783,0.001783
85,557.124,1.22737,0.91272,1.4057,0.93755,0.87315,0.93598,0.6256,1.15153,0.66019,1.36009,0.001684,0.001684,0.001684
86,1145.93,1.21988,0.9008,1.39884,0.93764,0.87394,0.93688,0.62609,1.1497,0.65687,1.35798,0.001585,0.001585,0.001585
87,1734.23,1.2177,0.88926,1.39363,0.93881,0.87475,0.93736,0.62674,1.14846,0.65373,1.35638,0.001486,0.001486,0.001486
88,2325.68,1.21486,0.88564,1.39487,0.93978,0.8751,0.93798,0.62711,1.14734,0.6508,1.35492,0.001387,0.001387,0.001387
89,2919.55,1.20803,0.87916,1.39272,0.94138,0.87464,0.9382,0.62793,1.14614,0.64788,1.35331,0.001288,0.001288,0.001288
90,3513.45,1.20829,0.87879,1.38837,0.94109,0.87562,0.93846,0.62899,1.14475,0.64548,1.35153,0.001189,0.001189,0.001189
91,4105.39,1.17401,0.67694,1.38146,0.94246,0.87684,0.93949,0.63051,1.14256,0.64186,1.34972,0.00109,0.00109,0.00109
92,4693.16,1.16756,0.66306,1.377,0.9415,0.87919,0.94022,0.6318,1.1402,0.63807,1.34774,0.000991,0.000991,0.000991
93,5279.21,1.15495,0.65133,1.36436,0.94112,0.8802,0.94065,0.63292,1.13784,0.63435,1.3456,0.000892,0.000892,0.000892
94,5871.95,1.15227,0.64161,1.35896,0.9412,0.88049,0.94123,0.6343,1.1355,0.63097,1.34372,0.000793,0.000793,0.000793
95,6457.58,1.14276,0.63287,1.3535,0.9426,0.88086,0.94209,0.63554,1.13307,0.62732,1.34168,0.000694,0.000694,0.000694
96,7041.66,1.13646,0.63065,1.34994,0.94344,0.88182,0.94294,0.6365,1.13047,0.6244,1.33933,0.000595,0.000595,0.000595
97,7625.51,1.13038,0.62375,1.34834,0.9439,0.88208,0.94351,0.63771,1.12832,0.62102,1.33744,0.000496,0.000496,0.000496
98,8208.23,1.12081,0.6106,1.3372,0.9444,0.88292,0.94405,0.6391,1.12631,0.6181,1.33558,0.000397,0.000397,0.000397
99,8790.84,1.11752,0.60621,1.33616,0.94581,0.88298,0.94445,0.64002,1.1246,0.615,1.33406,0.000298,0.000298,0.000298
100,9373.22,1.11433,0.6018,1.33242,0.94555,0.88421,0.94516,0.64146,1.12266,0.61214,1.33224,0.000199,0.000199,0.000199
